Idiom	WiktionaryURL	Pos	Neg	Neu	Inapprop.	Total	%Pos	%Neg	%Neu	Maj. Label	FilterOut(X)
shots fired	https://en.wiktionary.org/wiki/shots_fired	0	9	1	0	10	0.000	0.900	0.100	negative	
shoulder to cry on	https://en.wiktionary.org/wiki/shoulder_to_cry_on	7	0	3	0	10	0.700	0.000	0.300	positive	
shout from the rooftops	https://en.wiktionary.org/wiki/shout_from_the_rooftops	3	0	7	0	10	0.300	0.000	0.700	neutral	
show off	https://en.wiktionary.org/wiki/show_off	3	2	5	0	10	0.300	0.200	0.500	neutral	
show one's face	https://en.wiktionary.org/wiki/show_one's_face	0	0	10	0	10	0.000	0.000	1.000	neutral	
show up	https://en.wiktionary.org/wiki/show_up	1	2	7	0	10	0.100	0.200	0.700	neutral	
shower with	https://en.wiktionary.org/wiki/shower_with	3	0	7	0	10	0.300	0.000	0.700	neutral	
shrinking violet	https://en.wiktionary.org/wiki/shrinking_violet	0	4	6	0	10	0.000	0.400	0.600	neutral	
shrug off	https://en.wiktionary.org/wiki/shrug_off	1	5	4	0	10	0.100	0.500	0.400	negative	
shut down	https://en.wiktionary.org/wiki/shut_down	0	7	3	0	10	0.000	0.700	0.300	negative	
shut in	https://en.wiktionary.org/wiki/shut_in	0	1	9	0	10	0.000	0.100	0.900	neutral	
shut one's mouth	https://en.wiktionary.org/wiki/shut_one's_mouth	0	5	5	0	10	0.000	0.500	0.500	negative	
shut the door on	https://en.wiktionary.org/wiki/shut_the_door_on	0	8	2	0	10	0.000	0.800	0.200	negative	
sick and tired	https://en.wiktionary.org/wiki/sick_and_tired	0	10	0	0	10	0.000	1.000	0.000	negative	
sick list	https://en.wiktionary.org/wiki/sick_list	0	6	4	0	10	0.000	0.600	0.400	negative	
sick man	https://en.wiktionary.org/wiki/sick_man	0	10	0	0	10	0.000	1.000	0.000	negative	
sick note	https://en.wiktionary.org/wiki/sick_note	0	6	4	0	10	0.000	0.600	0.400	negative	
side effect	https://en.wiktionary.org/wiki/side_effect	0	6	4	0	10	0.000	0.600	0.400	negative	
side issue	https://en.wiktionary.org/wiki/side_issue	1	1	8	0	10	0.100	0.100	0.800	neutral	
side wall	https://en.wiktionary.org/wiki/side_wall	0	0	10	0	10	0.000	0.000	1.000	neutral	
sift out	https://en.wiktionary.org/wiki/sift_out	0	2	8	0	10	0.000	0.200	0.800	neutral	
sigh of relief	https://en.wiktionary.org/wiki/sigh_of_relief	8	0	2	0	10	0.800	0.000	0.200	positive	
sight for sore eyes	https://en.wiktionary.org/wiki/sight_for_sore_eyes	8	2	0	0	10	0.800	0.200	0.000	positive	
sight to behold	https://en.wiktionary.org/wiki/sight_to_behold	10	0	0	0	10	1.000	0.000	0.000	positive	
sight unseen	https://en.wiktionary.org/wiki/sight_unseen	0	0	10	0	10	0.000	0.000	1.000	neutral	
sign in	https://en.wiktionary.org/wiki/sign_in	0	0	10	0	10	0.000	0.000	1.000	neutral	
sign of the times	https://en.wiktionary.org/wiki/sign_of_the_times	0	0	10	0	10	0.000	0.000	1.000	neutral	
sign off	https://en.wiktionary.org/wiki/sign_off	0	1	9	0	10	0.000	0.100	0.900	neutral	
sign on	https://en.wiktionary.org/wiki/sign_on	2	0	8	0	10	0.200	0.000	0.800	neutral	
sign on the dotted line	https://en.wiktionary.org/wiki/sign_on_the_dotted_line	2	0	8	0	10	0.200	0.000	0.800	neutral	
significance level	https://en.wiktionary.org/wiki/significance_level	4	0	6	0	10	0.400	0.000	0.600	neutral	
silky smooth	https://en.wiktionary.org/wiki/silky_smooth	6	0	4	0	10	0.600	0.000	0.400	positive	
silly money	https://en.wiktionary.org/wiki/silly_money	0	1	9	0	10	0.000	0.100	0.900	neutral	
silly season	https://en.wiktionary.org/wiki/silly_season	0	4	6	0	10	0.000	0.400	0.600	neutral	
silver bullet	https://en.wiktionary.org/wiki/silver_bullet	3	0	7	0	10	0.300	0.000	0.700	neutral	
silver foil	https://en.wiktionary.org/wiki/silver_foil	0	0	10	0	10	0.000	0.000	1.000	neutral	
silver screen	https://en.wiktionary.org/wiki/silver_screen	0	0	10	0	10	0.000	0.000	1.000	neutral	
silver spoon	https://en.wiktionary.org/wiki/silver_spoon	8	0	2	0	10	0.800	0.000	0.200	positive	
silver-tongued	https://en.wiktionary.org/wiki/silver-tongued	8	0	2	0	10	0.800	0.000	0.200	positive	
simmer down	https://en.wiktionary.org/wiki/simmer_down	2	2	6	0	10	0.200	0.200	0.600	neutral	
simple English	https://en.wiktionary.org/wiki/simple_English	0	1	9	0	10	0.000	0.100	0.900	neutral	
sin tax	https://en.wiktionary.org/wiki/sin_tax	0	2	8	0	10	0.000	0.200	0.800	neutral	
sing along	https://en.wiktionary.org/wiki/sing_along	2	0	8	0	10	0.200	0.000	0.800	neutral	
sing the praises of	https://en.wiktionary.org/wiki/sing_the_praises_of	9	0	1	0	10	0.900	0.000	0.100	positive	
sink in	https://en.wiktionary.org/wiki/sink_in	0	0	10	0	10	0.000	0.000	1.000	neutral	
sink one's teeth into	https://en.wiktionary.org/wiki/sink_one's_teeth_into	5	1	4	0	10	0.500	0.100	0.400	positive	
sink or swim	https://en.wiktionary.org/wiki/sink_or_swim	0	1	9	0	10	0.000	0.100	0.900	neutral	
sinking ship	https://en.wiktionary.org/wiki/sinking_ship	0	10	0	0	10	0.000	1.000	0.000	negative	
siren song	https://en.wiktionary.org/wiki/siren_song	0	9	1	0	10	0.000	0.900	0.100	negative	
sit back	https://en.wiktionary.org/wiki/sit_back	2	0	8	0	10	0.200	0.000	0.800	neutral	
sit in	https://en.wiktionary.org/wiki/sit_in	0	0	10	0	10	0.000	0.000	1.000	neutral	
sit in for	https://en.wiktionary.org/wiki/sit_in_for	1	1	8	0	10	0.100	0.100	0.800	neutral	
sit on	https://en.wiktionary.org/wiki/sit_on	0	3	7	0	10	0.000	0.300	0.700	neutral	
sit on it	https://en.wiktionary.org/wiki/sit_on_it	0	5	5	0	10	0.000	0.500	0.500	negative	
sit on one's hands	https://en.wiktionary.org/wiki/sit_on_one's_hands	0	3	7	0	10	0.000	0.300	0.700	neutral	
sit on the fence	https://en.wiktionary.org/wiki/sit_on_the_fence	0	0	10	0	10	0.000	0.000	1.000	neutral	
sit out	https://en.wiktionary.org/wiki/sit_out	0	4	6	0	10	0.000	0.400	0.600	neutral	
sit still	https://en.wiktionary.org/wiki/sit_still	3	0	7	0	10	0.300	0.000	0.700	neutral	
sit through	https://en.wiktionary.org/wiki/sit_through	0	1	9	0	10	0.000	0.100	0.900	neutral	
sit tight	https://en.wiktionary.org/wiki/sit_tight	0	0	10	0	10	0.000	0.000	1.000	neutral	
sitting duck	https://en.wiktionary.org/wiki/sitting_duck	1	5	4	0	10	0.100	0.500	0.400	negative	
sitting pretty	https://en.wiktionary.org/wiki/sitting_pretty	8	0	1	1	10	0.800	0.000	0.100	positive	
six feet under	https://en.wiktionary.org/wiki/six_feet_under	0	8	2	0	10	0.000	0.800	0.200	negative	
six of the best	https://en.wiktionary.org/wiki/six_of_the_best	1	6	3	0	10	0.100	0.600	0.300	negative	
size up	https://en.wiktionary.org/wiki/size_up	0	0	10	0	10	0.000	0.000	1.000	neutral	
skeleton crew	https://en.wiktionary.org/wiki/skeleton_crew	0	1	9	0	10	0.000	0.100	0.900	neutral	
skin and bones	https://en.wiktionary.org/wiki/skin_and_bones	0	5	5	0	10	0.000	0.500	0.500	negative	
skin in the game	https://en.wiktionary.org/wiki/skin_in_the_game	0	2	8	0	10	0.000	0.200	0.800	neutral	
skip a beat	https://en.wiktionary.org/wiki/skip_a_beat	0	3	7	0	10	0.000	0.300	0.700	neutral	
skip out	https://en.wiktionary.org/wiki/skip_out	0	4	6	0	10	0.000	0.400	0.600	neutral	
skip town	https://en.wiktionary.org/wiki/skip_town	0	3	7	0	10	0.000	0.300	0.700	neutral	
slack-jawed	https://en.wiktionary.org/wiki/slack-jawed	0	7	3	0	10	0.000	0.700	0.300	negative	
slam dunk	https://en.wiktionary.org/wiki/slam_dunk	4	0	6	0	10	0.400	0.000	0.600	neutral	
slanging match	https://en.wiktionary.org/wiki/slanging_match	0	4	6	0	10	0.000	0.400	0.600	neutral	
slap in the face	https://en.wiktionary.org/wiki/slap_in_the_face	0	10	0	0	10	0.000	1.000	0.000	negative	
slap on the wrist	https://en.wiktionary.org/wiki/slap_on_the_wrist	0	7	3	0	10	0.000	0.700	0.300	negative	
sleep in	https://en.wiktionary.org/wiki/sleep_in	0	1	9	0	10	0.000	0.100	0.900	neutral	
sleep on	https://en.wiktionary.org/wiki/sleep_on	2	0	8	0	10	0.200	0.000	0.800	neutral	
sleep rough	https://en.wiktionary.org/wiki/sleep_rough	0	5	5	0	10	0.000	0.500	0.500	negative	
sleep together	https://en.wiktionary.org/wiki/sleep_together	2	0	7	1	10	0.200	0.000	0.700	neutral	
sleep with	https://en.wiktionary.org/wiki/sleep_with	0	0	10	0	10	0.000	0.000	1.000	neutral	
sleeping giant	https://en.wiktionary.org/wiki/sleeping_giant	4	0	6	0	10	0.400	0.000	0.600	neutral	
slice of the pie	https://en.wiktionary.org/wiki/slice_of_the_pie	6	0	4	0	10	0.600	0.000	0.400	positive	
slide off	https://en.wiktionary.org/wiki/slide_off	0	1	9	0	10	0.000	0.100	0.900	neutral	
slip by	https://en.wiktionary.org/wiki/slip_by	2	2	6	0	10	0.200	0.200	0.600	neutral	
slip into	https://en.wiktionary.org/wiki/slip_into	0	0	10	0	10	0.000	0.000	1.000	neutral	
slip of the tongue	https://en.wiktionary.org/wiki/slip_of_the_tongue	0	7	3	0	10	0.000	0.700	0.300	negative	
slip through the cracks	https://en.wiktionary.org/wiki/slip_through_the_cracks	1	2	7	0	10	0.100	0.200	0.700	neutral	
slip under the radar	https://en.wiktionary.org/wiki/slip_under_the_radar	0	0	10	0	10	0.000	0.000	1.000	neutral	
slip up	https://en.wiktionary.org/wiki/slip_up	0	10	0	0	10	0.000	1.000	0.000	negative	
slip-up	https://en.wiktionary.org/wiki/slip-up	0	10	0	0	10	0.000	1.000	0.000	negative	
slippery slope	https://en.wiktionary.org/wiki/slippery_slope	0	8	2	0	10	0.000	0.800	0.200	negative	
slot in	https://en.wiktionary.org/wiki/slot_in	2	0	8	0	10	0.200	0.000	0.800	neutral	
slow burn	https://en.wiktionary.org/wiki/slow_burn	0	8	2	0	10	0.000	0.800	0.200	negative	
slow down	https://en.wiktionary.org/wiki/slow_down	0	5	5	0	10	0.000	0.500	0.500	negative	X
slow march	https://en.wiktionary.org/wiki/slow_march	1	0	9	0	10	0.100	0.000	0.900	neutral	
slow on the uptake	https://en.wiktionary.org/wiki/slow_on_the_uptake	0	8	2	0	10	0.000	0.800	0.200	negative	
slow up	https://en.wiktionary.org/wiki/slow_up	0	3	7	0	10	0.000	0.300	0.700	neutral	
slow-walk	https://en.wiktionary.org/wiki/slow-walk	0	7	3	0	10	0.000	0.700	0.300	negative	
slowly but surely	https://en.wiktionary.org/wiki/slowly_but_surely	1	0	8	1	10	0.100	0.000	0.800	neutral	
smack of	https://en.wiktionary.org/wiki/smack_of	0	2	8	0	10	0.000	0.200	0.800	neutral	
small arms	https://en.wiktionary.org/wiki/small_arms	0	0	10	0	10	0.000	0.000	1.000	neutral	
small beer	https://en.wiktionary.org/wiki/small_beer	0	2	8	0	10	0.000	0.200	0.800	neutral	
small change	https://en.wiktionary.org/wiki/small_change	0	2	8	0	10	0.000	0.200	0.800	neutral	
small fry	https://en.wiktionary.org/wiki/small_fry	0	1	9	0	10	0.000	0.100	0.900	neutral	
small potatoes	https://en.wiktionary.org/wiki/small_potatoes	0	3	7	0	10	0.000	0.300	0.700	neutral	
small print	https://en.wiktionary.org/wiki/small_print	0	0	10	0	10	0.000	0.000	1.000	neutral	
small talk	https://en.wiktionary.org/wiki/small_talk	0	0	10	0	10	0.000	0.000	1.000	neutral	
small wonder	https://en.wiktionary.org/wiki/small_wonder	3	0	7	0	10	0.300	0.000	0.700	neutral	
smash hit	https://en.wiktionary.org/wiki/smash_hit	10	0	0	0	10	1.000	0.000	0.000	positive	
smash up	https://en.wiktionary.org/wiki/smash_up	0	9	1	0	10	0.000	0.900	0.100	negative	
smear campaign	https://en.wiktionary.org/wiki/smear_campaign	0	9	1	0	10	0.000	0.900	0.100	negative	
smell a rat	https://en.wiktionary.org/wiki/smell_a_rat	0	5	5	0	10	0.000	0.500	0.500	negative	
smell blood	https://en.wiktionary.org/wiki/smell_blood	5	3	2	0	10	0.500	0.300	0.200	positive	
smell test	https://en.wiktionary.org/wiki/smell_test	0	0	10	0	10	0.000	0.000	1.000	neutral	
smoke and mirrors	https://en.wiktionary.org/wiki/smoke_and_mirrors	0	9	1	0	10	0.000	0.900	0.100	negative	
smoke out	https://en.wiktionary.org/wiki/smoke_out	0	5	5	0	10	0.000	0.500	0.500	negative	
smoke-filled room	https://en.wiktionary.org/wiki/smoke-filled_room	0	1	9	0	10	0.000	0.100	0.900	neutral	
smoking gun	https://en.wiktionary.org/wiki/smoking_gun	1	5	4	0	10	0.100	0.500	0.400	negative	
smooth operator	https://en.wiktionary.org/wiki/smooth_operator	6	1	3	0	10	0.600	0.100	0.300	positive	
smooth sailing	https://en.wiktionary.org/wiki/smooth_sailing	10	0	0	0	10	1.000	0.000	0.000	positive	
snail's pace	https://en.wiktionary.org/wiki/snail's_pace	0	3	7	0	10	0.000	0.300	0.700	neutral	
snake oil	https://en.wiktionary.org/wiki/snake_oil	0	8	2	0	10	0.000	0.800	0.200	negative	
snakes and ladders	https://en.wiktionary.org/wiki/snakes_and_ladders	1	0	9	0	10	0.100	0.000	0.900	neutral	
snap it up	https://en.wiktionary.org/wiki/snap_it_up	2	1	7	0	10	0.200	0.100	0.700	neutral	
sniff out	https://en.wiktionary.org/wiki/sniff_out	3	1	6	0	10	0.300	0.100	0.600	neutral	
sniff test	https://en.wiktionary.org/wiki/sniff_test	0	0	10	0	10	0.000	0.000	1.000	neutral	
snow out	https://en.wiktionary.org/wiki/snow_out	0	1	9	0	10	0.000	0.100	0.900	neutral	
snowed under	https://en.wiktionary.org/wiki/snowed_under	0	4	6	0	10	0.000	0.400	0.600	neutral	
so be it	https://en.wiktionary.org/wiki/so_be_it	2	0	8	0	10	0.200	0.000	0.800	neutral	
so far	https://en.wiktionary.org/wiki/so_far	0	0	10	0	10	0.000	0.000	1.000	neutral	
so long as	https://en.wiktionary.org/wiki/so_long_as	0	0	10	0	10	0.000	0.000	1.000	neutral	
so much as	https://en.wiktionary.org/wiki/so_much_as	0	2	8	0	10	0.000	0.200	0.800	neutral	
so much for	https://en.wiktionary.org/wiki/so_much_for	0	7	3	0	10	0.000	0.700	0.300	negative	X
so there	https://en.wiktionary.org/wiki/so_there	0	2	8	0	10	0.000	0.200	0.800	neutral	
so-and-so	https://en.wiktionary.org/wiki/so-and-so	0	1	9	0	10	0.000	0.100	0.900	neutral	
so-called	https://en.wiktionary.org/wiki/so-called	0	0	10	0	10	0.000	0.000	1.000	neutral	
soak up	https://en.wiktionary.org/wiki/soak_up	1	0	9	0	10	0.100	0.000	0.900	neutral	
soaking wet	https://en.wiktionary.org/wiki/soaking_wet	0	2	8	0	10	0.000	0.200	0.800	neutral	
sob story	https://en.wiktionary.org/wiki/sob_story	0	10	0	0	10	0.000	1.000	0.000	negative	
social ladder	https://en.wiktionary.org/wiki/social_ladder	1	0	9	0	10	0.100	0.000	0.900	neutral	
socialized medicine	https://en.wiktionary.org/wiki/socialized_medicine	1	1	8	0	10	0.100	0.100	0.800	neutral	
soft shoe	https://en.wiktionary.org/wiki/soft_shoe	0	0	10	0	10	0.000	0.000	1.000	neutral	
soft spot	https://en.wiktionary.org/wiki/soft_spot	3	3	4	0	10	0.300	0.300	0.400	neutral	
soft touch	https://en.wiktionary.org/wiki/soft_touch	3	0	7	0	10	0.300	0.000	0.700	neutral	
soft underbelly	https://en.wiktionary.org/wiki/soft_underbelly	1	4	5	0	10	0.100	0.400	0.500	neutral	
soften up	https://en.wiktionary.org/wiki/soften_up	5	0	5	0	10	0.500	0.000	0.500	positive	
softly softly	https://en.wiktionary.org/wiki/softly_softly	1	0	9	0	10	0.100	0.000	0.900	neutral	
soldier on	https://en.wiktionary.org/wiki/soldier_on	4	0	6	0	10	0.400	0.000	0.600	neutral	
solo run	https://en.wiktionary.org/wiki/solo_run	1	0	9	0	10	0.100	0.000	0.900	neutral	
some kind of	https://en.wiktionary.org/wiki/some_kind_of	1	0	9	0	10	0.100	0.000	0.900	neutral	
some old	https://en.wiktionary.org/wiki/some_old	0	0	10	0	10	0.000	0.000	1.000	neutral	
some people	https://en.wiktionary.org/wiki/some_people	0	8	2	0	10	0.000	0.800	0.200	negative	X
something awful	https://en.wiktionary.org/wiki/something_awful	0	10	0	0	10	0.000	1.000	0.000	negative	
something like	https://en.wiktionary.org/wiki/something_like	0	0	10	0	10	0.000	0.000	1.000	neutral	
somewhere along the line	https://en.wiktionary.org/wiki/somewhere_along_the_line	0	0	10	0	10	0.000	0.000	1.000	neutral	
song and dance	https://en.wiktionary.org/wiki/song_and_dance	3	2	5	0	10	0.300	0.200	0.500	neutral	
sore point	https://en.wiktionary.org/wiki/sore_point	0	5	5	0	10	0.000	0.500	0.500	negative	
sort of	https://en.wiktionary.org/wiki/sort_of	0	0	10	0	10	0.000	0.000	1.000	neutral	
sort out	https://en.wiktionary.org/wiki/sort_out	3	0	7	0	10	0.300	0.000	0.700	neutral	
sound asleep	https://en.wiktionary.org/wiki/sound_asleep	1	0	9	0	10	0.100	0.000	0.900	neutral	
soup-to-nuts	https://en.wiktionary.org/wiki/soup-to-nuts	2	0	8	0	10	0.200	0.000	0.800	neutral	
sour cherry	https://en.wiktionary.org/wiki/sour_cherry	0	3	6	1	10	0.000	0.300	0.600	neutral	
sour grapes	https://en.wiktionary.org/wiki/sour_grapes	0	10	0	0	10	0.000	1.000	0.000	negative	
sour note	https://en.wiktionary.org/wiki/sour_note	0	10	0	0	10	0.000	1.000	0.000	negative	
sour stomach	https://en.wiktionary.org/wiki/sour_stomach	0	10	0	0	10	0.000	1.000	0.000	negative	
space out	https://en.wiktionary.org/wiki/space_out	0	3	7	0	10	0.000	0.300	0.700	neutral	
spaghetti western	https://en.wiktionary.org/wiki/spaghetti_western	0	0	10	0	10	0.000	0.000	1.000	neutral	
spare no effort	https://en.wiktionary.org/wiki/spare_no_effort	7	0	3	0	10	0.700	0.000	0.300	positive	
spare tire	https://en.wiktionary.org/wiki/spare_tire	0	3	7	0	10	0.000	0.300	0.700	neutral	
spare tyre	https://en.wiktionary.org/wiki/spare_tyre	0	2	8	0	10	0.000	0.200	0.800	neutral	
spark spread	https://en.wiktionary.org/wiki/spark_spread	0	0	10	0	10	0.000	0.000	1.000	neutral	
speak for	https://en.wiktionary.org/wiki/speak_for	1	0	9	0	10	0.100	0.000	0.900	neutral	
speak one's mind	https://en.wiktionary.org/wiki/speak_one's_mind	4	0	6	0	10	0.400	0.000	0.600	neutral	
speak out	https://en.wiktionary.org/wiki/speak_out	5	0	5	0	10	0.500	0.000	0.500	positive	
speak someone's language	https://en.wiktionary.org/wiki/speak_someone's_language	2	0	8	0	10	0.200	0.000	0.800	neutral	
speak to	https://en.wiktionary.org/wiki/speak_to	0	0	10	0	10	0.000	0.000	1.000	neutral	
speak up	https://en.wiktionary.org/wiki/speak_up	2	0	8	0	10	0.200	0.000	0.800	neutral	
speak volumes	https://en.wiktionary.org/wiki/speak_volumes	2	0	8	0	10	0.200	0.000	0.800	neutral	
special delivery	https://en.wiktionary.org/wiki/special_delivery	4	0	6	0	10	0.400	0.000	0.600	neutral	
special interest	https://en.wiktionary.org/wiki/special_interest	2	0	8	0	10	0.200	0.000	0.800	neutral	
special measures	https://en.wiktionary.org/wiki/special_measures	0	2	8	0	10	0.000	0.200	0.800	neutral	
special needs	https://en.wiktionary.org/wiki/special_needs	2	0	8	0	10	0.200	0.000	0.800	neutral	
spectator sport	https://en.wiktionary.org/wiki/spectator_sport	1	0	9	0	10	0.100	0.000	0.900	neutral	
speed merchant	https://en.wiktionary.org/wiki/speed_merchant	0	2	8	0	10	0.000	0.200	0.800	neutral	
speed up	https://en.wiktionary.org/wiki/speed_up	1	0	9	0	10	0.100	0.000	0.900	neutral	
spend a penny	https://en.wiktionary.org/wiki/spend_a_penny	0	1	9	0	10	0.000	0.100	0.900	neutral	
spic and span	https://en.wiktionary.org/wiki/spic_and_span	4	0	6	0	10	0.400	0.000	0.600	neutral	
spice up	https://en.wiktionary.org/wiki/spice_up	9	0	1	0	10	0.900	0.000	0.100	positive	
spick and span	https://en.wiktionary.org/wiki/spick_and_span	1	0	9	0	10	0.100	0.000	0.900	neutral	
spick-and-span	https://en.wiktionary.org/wiki/spick-and-span	3	0	7	0	10	0.300	0.000	0.700	neutral	
spill out	https://en.wiktionary.org/wiki/spill_out	1	1	8	0	10	0.100	0.100	0.800	neutral	
spill the beans	https://en.wiktionary.org/wiki/spill_the_beans	0	2	8	0	10	0.000	0.200	0.800	neutral	
spin out	https://en.wiktionary.org/wiki/spin_out	0	2	8	0	10	0.000	0.200	0.800	neutral	
spine-tingling	https://en.wiktionary.org/wiki/spine-tingling	2	2	6	0	10	0.200	0.200	0.600	neutral	
spit it out	https://en.wiktionary.org/wiki/spit_it_out	1	2	7	0	10	0.100	0.200	0.700	neutral	
spit out	https://en.wiktionary.org/wiki/spit_out	0	6	4	0	10	0.000	0.600	0.400	negative	
spit-and-polish	https://en.wiktionary.org/wiki/spit-and-polish	2	1	7	0	10	0.200	0.100	0.700	neutral	
spitting distance	https://en.wiktionary.org/wiki/spitting_distance	0	0	10	0	10	0.000	0.000	1.000	neutral	
splash down	https://en.wiktionary.org/wiki/splash_down	0	0	10	0	10	0.000	0.000	1.000	neutral	
split hairs	https://en.wiktionary.org/wiki/split_hairs	1	3	6	0	10	0.100	0.300	0.600	neutral	
split the difference	https://en.wiktionary.org/wiki/split_the_difference	0	0	10	0	10	0.000	0.000	1.000	neutral	
split up	https://en.wiktionary.org/wiki/split_up	0	4	6	0	10	0.000	0.400	0.600	neutral	
spoilt for choice	https://en.wiktionary.org/wiki/spoilt_for_choice	5	2	3	0	10	0.500	0.200	0.300	positive	
spoken word	https://en.wiktionary.org/wiki/spoken_word	0	0	10	0	10	0.000	0.000	1.000	neutral	
spot check	https://en.wiktionary.org/wiki/spot_check	0	0	10	0	10	0.000	0.000	1.000	neutral	
spread out	https://en.wiktionary.org/wiki/spread_out	0	1	9	0	10	0.000	0.100	0.900	neutral	
spring fever	https://en.wiktionary.org/wiki/spring_fever	0	5	5	0	10	0.000	0.500	0.500	negative	
spring for	https://en.wiktionary.org/wiki/spring_for	4	0	6	0	10	0.400	0.000	0.600	neutral	
spring in one's step	https://en.wiktionary.org/wiki/spring_in_one's_step	10	0	0	0	10	1.000	0.000	0.000	positive	
spring out	https://en.wiktionary.org/wiki/spring_out	4	0	6	0	10	0.400	0.000	0.600	neutral	
spring to life	https://en.wiktionary.org/wiki/spring_to_life	7	0	3	0	10	0.700	0.000	0.300	positive	
spring to mind	https://en.wiktionary.org/wiki/spring_to_mind	2	0	8	0	10	0.200	0.000	0.800	neutral	
spruce up	https://en.wiktionary.org/wiki/spruce_up	9	0	1	0	10	0.900	0.000	0.100	positive	
spur of the moment	https://en.wiktionary.org/wiki/spur_of_the_moment	0	2	8	0	10	0.000	0.200	0.800	neutral	
square meal	https://en.wiktionary.org/wiki/square_meal	8	0	2	0	10	0.800	0.000	0.200	positive	
square one	https://en.wiktionary.org/wiki/square_one	0	7	3	0	10	0.000	0.700	0.300	negative	
square peg in a round hole	https://en.wiktionary.org/wiki/square_peg_in_a_round_hole	1	8	1	0	10	0.100	0.800	0.100	negative	
squeeze out	https://en.wiktionary.org/wiki/squeeze_out	2	2	6	0	10	0.200	0.200	0.600	neutral	
squirrel away	https://en.wiktionary.org/wiki/squirrel_away	1	0	9	0	10	0.100	0.000	0.900	neutral	
stab in the back	https://en.wiktionary.org/wiki/stab_in_the_back	0	10	0	0	10	0.000	1.000	0.000	negative	
stack up	https://en.wiktionary.org/wiki/stack_up	0	0	10	0	10	0.000	0.000	1.000	neutral	
stage of the game	https://en.wiktionary.org/wiki/stage_of_the_game	0	2	8	0	10	0.000	0.200	0.800	neutral	
stake a claim	https://en.wiktionary.org/wiki/stake_a_claim	2	0	8	0	10	0.200	0.000	0.800	neutral	
stalking horse	https://en.wiktionary.org/wiki/stalking_horse	0	4	6	0	10	0.000	0.400	0.600	neutral	
stamp out	https://en.wiktionary.org/wiki/stamp_out	1	5	4	0	10	0.100	0.500	0.400	negative	
stand a chance	https://en.wiktionary.org/wiki/stand_a_chance	5	0	5	0	10	0.500	0.000	0.500	positive	
stand behind	https://en.wiktionary.org/wiki/stand_behind	7	0	3	0	10	0.700	0.000	0.300	positive	
stand by	https://en.wiktionary.org/wiki/stand_by	4	0	6	0	10	0.400	0.000	0.600	neutral	
stand corrected	https://en.wiktionary.org/wiki/stand_corrected	2	0	8	0	10	0.200	0.000	0.800	neutral	
stand down	https://en.wiktionary.org/wiki/stand_down	0	3	7	0	10	0.000	0.300	0.700	neutral	
stand for	https://en.wiktionary.org/wiki/stand_for	3	0	7	0	10	0.300	0.000	0.700	neutral	
stand in for	https://en.wiktionary.org/wiki/stand_in_for	0	1	9	0	10	0.000	0.100	0.900	neutral	
stand on its own	https://en.wiktionary.org/wiki/stand_on_its_own	3	0	7	0	10	0.300	0.000	0.700	neutral	
stand on one's own two feet	https://en.wiktionary.org/wiki/stand_on_one's_own_two_feet	8	1	1	0	10	0.800	0.100	0.100	positive	
stand one's ground	https://en.wiktionary.org/wiki/stand_one's_ground	2	0	8	0	10	0.200	0.000	0.800	neutral	
stand out	https://en.wiktionary.org/wiki/stand_out	7	0	3	0	10	0.700	0.000	0.300	positive	
stand pat	https://en.wiktionary.org/wiki/stand_pat	1	1	8	0	10	0.100	0.100	0.800	neutral	
stand tall	https://en.wiktionary.org/wiki/stand_tall	10	0	0	0	10	1.000	0.000	0.000	positive	
stand the test of time	https://en.wiktionary.org/wiki/stand_the_test_of_time	8	0	2	0	10	0.800	0.000	0.200	positive	
stand to reason	https://en.wiktionary.org/wiki/stand_to_reason	1	0	9	0	10	0.100	0.000	0.900	neutral	
stand up	https://en.wiktionary.org/wiki/stand_up	1	0	9	0	10	0.100	0.000	0.900	neutral	
stand up and be counted	https://en.wiktionary.org/wiki/stand_up_and_be_counted	4	0	6	0	10	0.400	0.000	0.600	neutral	
stand up with	https://en.wiktionary.org/wiki/stand_up_with	7	0	3	0	10	0.700	0.000	0.300	positive	
standard fare	https://en.wiktionary.org/wiki/standard_fare	0	0	10	0	10	0.000	0.000	1.000	neutral	
star turn	https://en.wiktionary.org/wiki/star_turn	5	0	5	0	10	0.500	0.000	0.500	positive	
star vehicle	https://en.wiktionary.org/wiki/star_vehicle	6	0	4	0	10	0.600	0.000	0.400	positive	
stars are aligned	https://en.wiktionary.org/wiki/stars_are_aligned	9	0	1	0	10	0.900	0.000	0.100	positive	
stars in one's eyes	https://en.wiktionary.org/wiki/stars_in_one's_eyes	9	0	1	0	10	0.900	0.000	0.100	positive	
start over	https://en.wiktionary.org/wiki/start_over	1	0	9	0	10	0.100	0.000	0.900	neutral	
starting price	https://en.wiktionary.org/wiki/starting_price	0	0	10	0	10	0.000	0.000	1.000	neutral	
state of affairs	https://en.wiktionary.org/wiki/state_of_affairs	0	0	10	0	10	0.000	0.000	1.000	neutral	
stave off	https://en.wiktionary.org/wiki/stave_off	1	1	8	0	10	0.100	0.100	0.800	neutral	
stay at home	https://en.wiktionary.org/wiki/stay_at_home	0	1	9	0	10	0.000	0.100	0.900	neutral	
stay behind	https://en.wiktionary.org/wiki/stay_behind	0	0	10	0	10	0.000	0.000	1.000	neutral	
