idiom	patterns
put to use	"[[{""LEMMA"": {""REGEX"": ""(?i)^put$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^use$""}}]]"
put to work	"[[{""LEMMA"": {""REGEX"": ""(?i)^put$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^work$""}}]]"
put two and two together	"[[{""LEMMA"": {""REGEX"": ""(?i)^put$""}}, {""LEMMA"": {""REGEX"": ""(?i)^two$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^two$""}}, {""LEMMA"": {""REGEX"": ""(?i)^together$""}}]]"
put up or shut up	"[[{""LEMMA"": {""REGEX"": ""(?i)^put$""}}, {""LEMMA"": {""REGEX"": ""(?i)^up$""}}, {""LEMMA"": {""REGEX"": ""(?i)^or$""}}, {""LEMMA"": {""REGEX"": ""(?i)^shut$""}}, {""LEMMA"": {""REGEX"": ""(?i)^up$""}}]]"
put up to	"[[{""LEMMA"": {""REGEX"": ""(?i)^put$""}}, {""LEMMA"": {""REGEX"": ""(?i)^up$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}]]"
put up with	"[[{""LEMMA"": {""REGEX"": ""(?i)^put$""}}, {""LEMMA"": {""REGEX"": ""(?i)^up$""}}, {""LEMMA"": {""REGEX"": ""(?i)^with$""}}]]"
put words in someone's mouth	"[[{""LEMMA"": {""REGEX"": ""(?i)^put$""}}, {""LEMMA"": {""REGEX"": ""(?i)^word$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^mouth$""}}]]"
quarter-pounder	"[[{""TEXT"": {""REGEX"": ""(?i)^quarter$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^pounder$""}}]]"
quick off the mark	"[[{""LEMMA"": {""REGEX"": ""(?i)^quick$""}}, {""LEMMA"": {""REGEX"": ""(?i)^off$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^mark$""}}]]"
quick-and-dirty	"[[{""TEXT"": {""REGEX"": ""(?i)^quick$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^and$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^dirty$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^quick$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^dirty$""}}]]"
quick-fire	"[[{""TEXT"": {""REGEX"": ""(?i)^quick$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^fire$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^quickfire$""}}]]"
quite a bit	"[[{""LEMMA"": {""REGEX"": ""(?i)^quite$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^bit$""}}]]"
race against time	"[[{""LEMMA"": {""REGEX"": ""(?i)^race$""}}, {""LEMMA"": {""REGEX"": ""(?i)^against$""}}, {""LEMMA"": {""REGEX"": ""(?i)^time$""}}]]"
rack and ruin	"[[{""LEMMA"": {""REGEX"": ""(?i)^rack$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^ruin$""}}]]"
rags to riches	"[[{""LEMMA"": {""REGEX"": ""(?i)^rag$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^rich$""}}], [{""TEXT"": {""REGEX"": ""(?i)^rags$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^to$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^riches$""}}]]"
rain on one's parade	"[[{""LEMMA"": {""REGEX"": ""(?i)^rain$""}}, {""LEMMA"": {""REGEX"": ""(?i)^on$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^parade$""}}]]"
rain or shine	"[[{""LEMMA"": {""REGEX"": ""(?i)^rain$""}}, {""LEMMA"": {""REGEX"": ""(?i)^or$""}}, {""LEMMA"": {""REGEX"": ""(?i)^shine$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^come$""}}, {""LEMMA"": {""REGEX"": ""(?i)^rain$""}}, {""LEMMA"": {""REGEX"": ""(?i)^or$""}}, {""LEMMA"": {""REGEX"": ""(?i)^shine$""}}]]"
raise eyebrows	"[[{""LEMMA"": {""REGEX"": ""(?i)^raise$""}}, {""LEMMA"": {""REGEX"": ""(?i)^eyebrow$""}}]]"
raise one's hand	"[[{""LEMMA"": {""REGEX"": ""(?i)^raise$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^hand$""}}]]"
raise the bar	"[[{""LEMMA"": {""REGEX"": ""(?i)^raise$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^bar$""}}]]"
raise the roof	"[[{""LEMMA"": {""REGEX"": ""(?i)^raise$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^roof$""}}]]"
raise the stakes	"[[{""LEMMA"": {""REGEX"": ""(?i)^raise$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^stake$""}}]]"
rank and file	"[[{""LEMMA"": {""REGEX"": ""(?i)^rank$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^file$""}}], [{""TEXT"": {""REGEX"": ""(?i)^rank$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^and$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^file$""}}]]"
ray of light	"[[{""LEMMA"": {""REGEX"": ""(?i)^ray$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^light$""}}]]"
razor-sharp	"[[{""TEXT"": {""REGEX"": ""(?i)^razor$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^sharp$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^razor$""}}, {""LEMMA"": {""REGEX"": ""(?i)^sharp$""}}]]"
reach for the stars	"[[{""LEMMA"": {""REGEX"": ""(?i)^reach$""}}, {""LEMMA"": {""REGEX"": ""(?i)^for$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^star$""}}]]"
reach-around	"[[{""TEXT"": {""REGEX"": ""(?i)^reach$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^around$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^reacharound$""}}]]"
read my lips	"[[{""LEMMA"": {""REGEX"": ""(?i)^read$""}}, {""LEMMA"": {""REGEX"": ""(?i)^my$""}}, {""LEMMA"": {""REGEX"": ""(?i)^lip$""}}]]"
read someone's lips	"[[{""LEMMA"": {""REGEX"": ""(?i)^read$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^lip$""}}]]"
read someone's mind	"[[{""LEMMA"": {""REGEX"": ""(?i)^read$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^mind$""}}]]"
reasonable person	"[[{""LEMMA"": {""REGEX"": ""(?i)^reasonable$""}}, {""LEMMA"": {""REGEX"": ""(?i)^person$""}}]]"
red letter day	"[[{""LEMMA"": {""REGEX"": ""(?i)^red$""}}, {""LEMMA"": {""REGEX"": ""(?i)^letter$""}}, {""LEMMA"": {""REGEX"": ""(?i)^day$""}}], [{""TEXT"": {""REGEX"": ""(?i)^red$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^letter$""}}, {""TEXT"": {""REGEX"": ""(?i)^day$""}}]]"
red-faced	"[[{""TEXT"": {""REGEX"": ""(?i)^red$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^faced$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^redface$""}}]]"
reinvent the wheel	"[[{""LEMMA"": {""REGEX"": ""(?i)^reinvent$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^wheel$""}}]]"
remain to be seen	"[[{""LEMMA"": {""REGEX"": ""(?i)^remain$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^be$""}}, {""LEMMA"": {""REGEX"": ""(?i)^see$""}}]]"
rest his soul	"[[{""LEMMA"": {""REGEX"": ""(?i)^rest$""}}, {""LEMMA"": {""REGEX"": ""(?i)^his$""}}, {""LEMMA"": {""REGEX"": ""(?i)^soul$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^rest$""}}, {""LEMMA"": {""REGEX"": ""(?i)^her$""}}, {""LEMMA"": {""REGEX"": ""(?i)^soul$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^rest$""}}, {""LEMMA"": {""REGEX"": ""(?i)^their$""}}, {""LEMMA"": {""REGEX"": ""(?i)^soul$""}}]]"
rest on one's laurels	"[[{""LEMMA"": {""REGEX"": ""(?i)^rest$""}}, {""LEMMA"": {""REGEX"": ""(?i)^on$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^laurel$""}}]]"
return to form	"[[{""LEMMA"": {""REGEX"": ""(?i)^return$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^form$""}}]]"
rhyme or reason	"[[{""LEMMA"": {""REGEX"": ""(?i)^rhyme$""}}, {""LEMMA"": {""REGEX"": ""(?i)^or$""}}, {""LEMMA"": {""REGEX"": ""(?i)^reason$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^rhyme$""}}, {""LEMMA"": {""REGEX"": ""(?i)^nor$""}}, {""LEMMA"": {""REGEX"": ""(?i)^reason$""}}]]"
ride one's luck	"[[{""LEMMA"": {""REGEX"": ""(?i)^ride$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^luck$""}}]]"
ride roughshod over	"[[{""LEMMA"": {""REGEX"": ""(?i)^ride$""}}, {""LEMMA"": {""REGEX"": ""(?i)^roughshod$""}}, {""LEMMA"": {""REGEX"": ""(?i)^over$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""LEMMA"": {""REGEX"": ""(?i)^roughshod$""}}, {""LEMMA"": {""REGEX"": ""(?i)^over$""}}]]"
ride the wave	"[[{""LEMMA"": {""REGEX"": ""(?i)^ride$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^wave$""}}]]"
right to life	"[[{""LEMMA"": {""REGEX"": ""(?i)^right$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^life$""}}]]"
right to work	"[[{""LEMMA"": {""REGEX"": ""(?i)^right$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^work$""}}]]"
ring a bell	"[[{""LEMMA"": {""REGEX"": ""(?i)^ring$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^bell$""}}]]"
rise and shine	"[[{""LEMMA"": {""REGEX"": ""(?i)^rise$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^shine$""}}]]"
rise from the ashes	"[[{""LEMMA"": {""REGEX"": ""(?i)^rise$""}}, {""LEMMA"": {""REGEX"": ""(?i)^from$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^ashe$""}}]]"
rise to the challenge	"[[{""LEMMA"": {""REGEX"": ""(?i)^rise$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^challenge$""}}]]"
rise to the occasion	"[[{""LEMMA"": {""REGEX"": ""(?i)^rise$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^occasion$""}}]]"
road to damascus	"[[{""LEMMA"": {""REGEX"": ""(?i)^road$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^damascus$""}}]]"
rob peter to pay paul	"[[{""LEMMA"": {""REGEX"": ""(?i)^rob$""}}, {""LEMMA"": {""REGEX"": ""(?i)^peter$""}}, {""LEMMA"": {""REGEX"": ""(?i)^to$""}}, {""LEMMA"": {""REGEX"": ""(?i)^pay$""}}, {""LEMMA"": {""REGEX"": ""(?i)^paul$""}}]]"
rock the boat	"[[{""LEMMA"": {""REGEX"": ""(?i)^rock$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^boat$""}}]]"
rocket science	"[[{""LEMMA"": {""REGEX"": ""(?i)^rocket$""}}, {""LEMMA"": {""REGEX"": ""(?i)^science$""}}]]"
rogues' gallery	"[[{""LEMMA"": {""REGEX"": ""(?i)^rogue$""}}, {""LEMMA"": {""REGEX"": ""(?i)^'$""}}, {""LEMMA"": {""REGEX"": ""(?i)^gallery$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^rogue$""}}, {""LEMMA"": {""REGEX"": ""(?i)^gallery$""}}]]"
roll back the years	"[[{""LEMMA"": {""REGEX"": ""(?i)^roll$""}}, {""LEMMA"": {""REGEX"": ""(?i)^back$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^year$""}}]]"
roll off the tongue	"[[{""LEMMA"": {""REGEX"": ""(?i)^roll$""}}, {""LEMMA"": {""REGEX"": ""(?i)^off$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^tongue$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^roll$""}}, {""LEMMA"": {""REGEX"": ""(?i)^from$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^tongue$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^roll$""}}, {""LEMMA"": {""REGEX"": ""(?i)^from$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^tongue$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""LEMMA"": {""REGEX"": ""(?i)^from$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^tongue$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""LEMMA"": {""REGEX"": ""(?i)^off$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^tongue$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^trip$""}}, {""LEMMA"": {""REGEX"": ""(?i)^from$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^tongue$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^trip$""}}, {""LEMMA"": {""REGEX"": ""(?i)^off$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^tongue$""}}]]"
roll one's eyes	"[[{""LEMMA"": {""REGEX"": ""(?i)^roll$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^eye$""}}]]"
roll out the red carpet	"[[{""LEMMA"": {""REGEX"": ""(?i)^roll$""}}, {""LEMMA"": {""REGEX"": ""(?i)^out$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^red$""}}, {""LEMMA"": {""REGEX"": ""(?i)^carpet$""}}]]"
roll the dice	"[[{""LEMMA"": {""REGEX"": ""(?i)^roll$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^dice$""}}]]"
roll up one's sleeves	"[[{""LEMMA"": {""REGEX"": ""(?i)^roll$""}}, {""LEMMA"": {""REGEX"": ""(?i)^up$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^sleeve$""}}]]"
roof over one's head	"[[{""LEMMA"": {""REGEX"": ""(?i)^roof$""}}, {""LEMMA"": {""REGEX"": ""(?i)^over$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^head$""}}]]"
room for doubt	"[[{""LEMMA"": {""REGEX"": ""(?i)^room$""}}, {""LEMMA"": {""REGEX"": ""(?i)^for$""}}, {""LEMMA"": {""REGEX"": ""(?i)^doubt$""}}]]"
rooting interest	"[[{""LEMMA"": {""REGEX"": ""(?i)^root$""}}, {""LEMMA"": {""REGEX"": ""(?i)^interest$""}}]]"
rose-colored glasses	"[[{""TEXT"": {""REGEX"": ""(?i)^rose$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^colored$""}}, {""TEXT"": {""REGEX"": ""(?i)^glasses$""}}], [{""TEXT"": {""REGEX"": ""(?i)^rose$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^coloured$""}}, {""TEXT"": {""REGEX"": ""(?i)^glasses$""}}], [{""TEXT"": {""REGEX"": ""(?i)^rose$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^tinted$""}}, {""TEXT"": {""REGEX"": ""(?i)^glasses$""}}], [{""TEXT"": {""REGEX"": ""(?i)^rose$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^colored$""}}, {""TEXT"": {""REGEX"": ""(?i)^lenses$""}}], [{""TEXT"": {""REGEX"": ""(?i)^rose$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^coloured$""}}, {""TEXT"": {""REGEX"": ""(?i)^spectacles$""}}], [{""TEXT"": {""REGEX"": ""(?i)^rose$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^tinted$""}}, {""TEXT"": {""REGEX"": ""(?i)^spectacles$""}}]]"
rose-coloured	"[[{""TEXT"": {""REGEX"": ""(?i)^rose$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^coloured$""}}], [{""TEXT"": {""REGEX"": ""(?i)^rose$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^colored$""}}]]"
rough and ready	"[[{""LEMMA"": {""REGEX"": ""(?i)^rough$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^ready$""}}], [{""TEXT"": {""REGEX"": ""(?i)^rough$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^and$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^ready$""}}]]"
rough around the edges	"[[{""LEMMA"": {""REGEX"": ""(?i)^rough$""}}, {""LEMMA"": {""REGEX"": ""(?i)^around$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^edge$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^rough$""}}, {""LEMMA"": {""REGEX"": ""(?i)^round$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^edge$""}}]]"
round of applause	"[[{""LEMMA"": {""REGEX"": ""(?i)^round$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^applause$""}}]]"
round the bend	"[[{""LEMMA"": {""REGEX"": ""(?i)^round$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^bend$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^around$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^bend$""}}]]"
round the clock	"[[{""LEMMA"": {""REGEX"": ""(?i)^round$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^clock$""}}]]"
rub it in	"[[{""LEMMA"": {""REGEX"": ""(?i)^rub$""}}, {""LEMMA"": {""REGEX"": ""(?i)^it$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}]]"
rub off on	"[[{""LEMMA"": {""REGEX"": ""(?i)^rub$""}}, {""LEMMA"": {""REGEX"": ""(?i)^off$""}}, {""LEMMA"": {""REGEX"": ""(?i)^on$""}}]]"
rue the day	"[[{""LEMMA"": {""REGEX"": ""(?i)^rue$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^day$""}}]]"
rule of thumb	"[[{""LEMMA"": {""REGEX"": ""(?i)^rule$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^thumb$""}}], [{""TEXT"": {""REGEX"": ""(?i)^rule$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^of$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^thumb$""}}]]"
rule the roost	"[[{""LEMMA"": {""REGEX"": ""(?i)^rule$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^roost$""}}]]"
run a mile	"[[{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^mile$""}}]]"
run a red light	"[[{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""TEXT"": ""a"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^red$""}}, {""LEMMA"": {""REGEX"": ""(?i)^light$""}}]]"
run afoul of	"[[{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""LEMMA"": {""REGEX"": ""(?i)^afoul$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}]]"
run around with	"[[{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""LEMMA"": {""REGEX"": ""(?i)^around$""}}, {""LEMMA"": {""REGEX"": ""(?i)^with$""}}]]"
run down the clock	"[[{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""LEMMA"": {""REGEX"": ""(?i)^down$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^clock$""}}]]"
run for one's money	"[[{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""LEMMA"": {""REGEX"": ""(?i)^for$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^money$""}}]]"
run for the hills	"[[{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""LEMMA"": {""REGEX"": ""(?i)^for$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^hill$""}}]]"
run in the family	"[[{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""LEMMA"": {""REGEX"": ""(?i)^in$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^family$""}}]]"
run into the ground	"[[{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""LEMMA"": {""REGEX"": ""(?i)^into$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^ground$""}}]]"
run of play	"[[{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^play$""}}]]"
run off with	"[[{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""LEMMA"": {""REGEX"": ""(?i)^off$""}}, {""LEMMA"": {""REGEX"": ""(?i)^with$""}}]]"
run one's course	"[[{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""TAG"": ""PRP$""}, {""LEMMA"": {""REGEX"": ""(?i)^course$""}}]]"
run out of steam	"[[{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""LEMMA"": {""REGEX"": ""(?i)^out$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^steam$""}}]]"
run out of town	"[[{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""LEMMA"": {""REGEX"": ""(?i)^out$""}}, {""LEMMA"": {""REGEX"": ""(?i)^of$""}}, {""LEMMA"": {""REGEX"": ""(?i)^town$""}}]]"
run out the clock	"[[{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""LEMMA"": {""REGEX"": ""(?i)^out$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^clock$""}}]]"
run rings around	"[[{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""LEMMA"": {""REGEX"": ""(?i)^ring$""}}, {""LEMMA"": {""REGEX"": ""(?i)^around$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""LEMMA"": {""REGEX"": ""(?i)^ring$""}}, {""LEMMA"": {""REGEX"": ""(?i)^round$""}}]]"
run the clock down	"[[{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^clock$""}}, {""LEMMA"": {""REGEX"": ""(?i)^down$""}}]]"
run the gamut	"[[{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^gamut$""}}]]"
run the gauntlet	"[[{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^gauntlet$""}}], [{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^gantlet$""}}]]"
run the show	"[[{""LEMMA"": {""REGEX"": ""(?i)^run$""}}, {""TEXT"": ""the"", ""OP"": ""?""}, {""LEMMA"": {""REGEX"": ""(?i)^show$""}}]]"
sabre-rattling	"[[{""TEXT"": {""REGEX"": ""(?i)^sabre$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^rattling$""}}], [{""TEXT"": {""REGEX"": ""(?i)^saber$""}}, {""TEXT"": ""-"", ""OP"": ""?""}, {""TEXT"": {""REGEX"": ""(?i)^rattling$""}}]]"
safe and sound	"[[{""LEMMA"": {""REGEX"": ""(?i)^safe$""}}, {""LEMMA"": {""REGEX"": ""(?i)^and$""}}, {""LEMMA"": {""REGEX"": ""(?i)^sound$""}}]]"
